S1.1	0	1240.5364	1220.8034	2.963	4
S1.2	0	1327.0768	1142.8234	2.963	4
S1.3	0	1488.7776	1012.1396	2.963	4
S1.4	0	1865.7176	916.0299	2.963	4
S1.5	0	646.3618	2675.2691	2.963	4
S2.1	1	1384.5852	1208.7015	2.72	2
S2.2	1	1520.094	1081.6194	2.72	2
S3.1	2	1057.7725	1243.6405	1.855	4
S3.2	2	1290.6339	1076.6569	1.855	4
S3.3	2	568.2818	2131.6106	1.855	4
S4.1	3	2063.7729	1865.15		1.855	4
S4.2	3	2316.5977	1474.1492	1.855	4
S4.3	3	1482.531	2813.2917	1.855	4
S5.1	4	2119.0205	1630.0038	4.45	1
S5.2	4	2232.923	1338.3455	4.45	1
S5.3	4	973.7023	3108.7368	4.45	1
S6.1	5	3004.1106	2366.7349	2.393	4
S6.2	5	3098.1286	2050.1057	2.393	4
S6.3	5	2462.0336	3275.2528	2.393	4
S7.1	6	2878.1398	3032.8457	2.23	2
S7.2	6	2964.6967	2873.1722	2.23	2
S7.3	6	3306.5055	1984.435	2.23	2
S8.1	7	2873.5257	3274.1166	2.61	1
S8.2	7	3133.7672	2801.2204	2.61	1
S8.3	7	3450.5302	1995.1409	2.61	1
S12.1	8	1820.1078	1988.7552	1.699	4
S12.2	8	2249.4336	1343.2437	1.699	4
S12.3	8	1475.1294	2621.0518	1.699	4
S13.1	9	1791.0783	1908.7617	2.547	4
S13.2	9	2252.8813	1109.1722	2.547	4
S13.3	9	1191.1037	2815.9664	2.547	4
S14.1	10	1613.4579	2011.7161	1.855	4
S14.2	10	2133.3117	1114.9174	1.855	4
S14.3	10	1192.2288	2606.7343	1.855	4
S15.1	11	2816.001	3444.3824	2.405	4
S15.2	11	3330.7817	2585.4272	2.405	4
S15.3	11	3449.3214	2190.4765	2.405	4
S16.1	12	2730.6122	3532.2025	3.03	1
S16.2	12	3334.2109	2544.4604	3.03	1
S16.3	12	3426.5753	2122.0684	3.03	1
S17.1	13	2718.1142	3430.6797	3.15	2
S17.2	13	3287.5528	2489.2928	3.15	2
S17.3	13	3353.7109	2116.139	3.15	2
S18.1	14	3010.1418	3197.4007	2.04	1
S18.2	14	3183.2604	2887.7075	2.04	1
S19.1	15	459.5642	2193.1194	6.4	4
S19.2	15	535.6842	1332.7045	6.4	4
S19.3	15	2054.2271	516.157		6.4	4
S20.1	16	2443.8772	2946.4976	2.58	1
S20.2	16	2489.4179	2911.6576	2.58	1
S23.1	17	2137.677	2783.3019	3.84	1
S23.2	17	2172.4058	2718.794	3.84	1
S25.1	18	2097.4025	1477.7214	4.53	1
S25.2	18	2141.8271	1334.8783	4.53	1
S25.3	18	809.7739	3037.6205	4.53	1
S27.1	19	1123.8537	1703.5711	2.17	2
S27.2	19	1114.1736	1680.8198	2.17	2
S29.1	20	925.6943	1364.5419	1.62	2
S29.2	20	1382.8723	1036.0455	1.62	2
S31.1	21	2414.3848	2313.0365	1.55	2
S31.2	21	2626.2309	1894.8278	1.55	2
S31.3	21	2022.116	2934.058	1.55	2
S32.1	22	2711.5101	2412.5981	2.4	2
S32.2	22	2059.6505	3251.5097	2.4	2
S32.3	22	2896.6692	1799.2742	2.4	2
S33.1	23	1899.2062	2450.6401	3.87	1
S33.2	23	1736.9585	2874.3514	3.87	1
S33.3	23	2662.2769	1043.3633	3.87	1
S34.1	24	1454.6436	3030.156	1.1	2
S34.2	24	2164.5289	1944.361	1.1	2
S34.3	24	2495.376	1439.2585	1.1	2
S36.1	25	3005.5219	3438.4555	2.59	1
S36.2	25	3352.3334	2815.6906	2.59	1
S36.3	25	3634.298	2274.5703	2.59	1
S37.1	26	1140.9693	2196.9858	3	1
S37.2	26	1162.0322	2201.0883	3	1
S39.1	27	845.8747	504.8715	2	1
S39.2	27	693.2791	597.4134	2	1
S45.1	28	1554.8261	1079.3875	3.06	1
S45.2	28	1915.8196	983.2813	3.06	1
S45.3	28	720.9345	2717.1612	3.06	1
S49.1	29	815.714		650.7475	3.54	2
S49.2	29	1373.7455	474.4457	3.54	2
S50.1	30	2430.4769	1405.0472	3.19	2
S50.2	30	2137.7766	1906.9899	3.19	2
S50.3	30	1385.2065	3093.0135	3.19	2
S52.1	31	2775.0288	3422.9167	3.02	1
S52.2	31	3239.129	2612.0371	3.02	1
S52.3	31	3420.9133	2035.3063	3.02	1
S55.1	32	2469.0398	2272.0779	2.17	2
S55.2	32	2669.5247	1765.5969	2.17	2
S55.3	32	1828.0114	3181.5797	2.17	2
S56.1	33	2503.9187	1425.1481	3	1
S56.2	33	2204.9494	1934.8619	3	1
S57.1	34	2169.1445	1431.0015	3	1
S57.2	34	2140.6691	1503.9342	3	1
S58.1	35	2146.7882	2747.591	3.03	2
S58.2	35	2155.8976	2729.304	3.03	2
S59.1	36	2293.8392	1369.6739	3.11	2
S59.2	36	2116.1638	1722.5235	3.11	2
S62.1	37	2556.8198	1673.486	2.23	2
S62.2	37	2369.4603	2019.9173	2.23	2
S63.1	38	2716.0872	2308.1271	2.2	2
S63.2	38	2776.4709	2122.1648	2.2	2
S65.1	39	1936.1826	2762.8348	3	1
S65.2	39	1985.7165	2604.3668	3	1
S66.1	40	1925.3546	2941.682	3	1
S66.2	40	2097.2918	2520.4255	3	1
S67.1	41	2827.0866	2324.7849	3	1
S67.2	41	2960.994	1823.3391	3	1
S68.1	42	1411.9101	997.9568	5.51	4
S68.2	42	1980.169	884.5743	5.51	4
S69.1	43	2091.1041	1817.6328	3	2
S69.2	43	2380.3786	1379.623	3	2
S70.1	44	1418.777	2611.6927	2.915	2
S70.2	44	1579.8671	2380.0677	2.915	2
S71.1	45	1960.1925	1475.1886	2.68	2
S71.2	45	2076.9314	1232.9193	2.68	2
S71.3	45	830.2374	2835.9457	2.68	2
S71.4	45	1703.4294	1229.2222	2.68	2
S72.1	46	2106.92		2971.7225	3.32	2
S72.2	46	2409.1905	2744.9637	3.32	2
S76.1	47	335.6679	559.3936	3	1
S76.2	47	244.0202	688.943		3	1
S76.3	47	197.3431	750.6585	3	1
S79.1	48	1365.2759	2777.2221	3	1
S79.2	48	1695.4258	2285.3179	3	1
S79.3	48	2356.5524	821.2592	3	1
S80.1	49	1491.0526	677.1956	2.37	1
S80.2	49	960.9578	1027.722	2.5	1
S80.3	49	401.4827	2113.5714	2.4	1
