S1.1	0	1345.4795	1716.9214	1.228
S1.2	0	1273.4813	1577.0887	1.228
S1.3	0	1757.7068	2133.8996	1.228
S2.1	1	1436.7209	1413.9547	1.259
S2.2	1	1466.482	1512.2373	1.259
S2.3	1	2100.9845	2107.2505	1.259
S3.1	2	1291.475	1347.915	2.15
S3.2	2	1372.4922	1594.5244	2.15
S3.3	2	2158.1323	2254.2703	2.15
S4.1	3	1384.8219	1489.9817	1.258
S4.2	3	1405.1424	1543.0477	1.258
S4.3	3	2002.6785	2120.288	1.258
S5.1	4	2130.132	1961.9525	1.397
S5.2	4	1686.9804	1693.474	1.397
S5.3	4	1413.3017	1030.4085	1.397
S6.1	5	2385.8793	1620.0696	1.428
S6.2	5	2301.5108	1317.2482	1.428
S6.3	5	1653.9597	780.0088	1.428
S7.1	6	2631.4531	1699.8052	1.837
S7.2	6	2381.8935	988.8461	1.837
S7.3	6	1991.8411	744.6565	1.837
S8.1	7	2707.2831	1773.2298	2.72
S8.2	7	2363.7135	894.9606	2.72
S8.3	7	2048.0845	716.3577	2.72
S9.1	8	2714.1092	1768.5483	2.74
S9.2	8	2355.7058	881.7136	2.74
S9.3	8	2071.845	720.8924	2.74
S10.1	9	1563.2346	1516.9963	0.73
S10.2	9	1598.4932	1585.1103	0.73
S11.1	10	2341.9815	706.3953	3.117
S11.2	10	2439.0347	781.0461	3.117
S11.3	10	2828.3152	1533.7304	3.117
S12.1	11	1624.0076	1498.2796	6.11
S12.2	11	2033.4307	1168.0145	6.11
S12.3	11	1528.7805	962.5941	6.11
S12.4	11	2534.1711	2233.487	6.11
S12.5	11	1877.1022	1382.1476	6.11
S13.1	12	2009.447	826.3037	4.113
S13.2	12	2130.5643	874.4644	4.113
S14.1	13	2146.2328	1077.2872	3.118
S14.2	13	1706.5589	874.2586	3.118
S14.3	13	2567.0999	2069.3212	3.118
S15.1	14	1487.171	1462.991	3.06
S15.2	14	1443.2087	1182.5473	3.06
S15.3	14	2411.943	2263.818	3.06
S16.1	15	2794.4723	1237.0984	3.14
S16.2	15	2765.0943	1146.8171	3.14
S16.3	15	2199.3556	558.9547	3.14
S17.1	16	1788.7222	861.876		3.606
S17.2	16	2134.5781	1018.2481	3.606
S17.3	16	2612.3789	2079.5369	3.606
S19.1	17	2084.4802	894.0516	1.035
S19.2	17	2319.9079	1077.918	1.035
S19.3	17	2501.912	1482.6763	1.035
S20.1	18	238.4926	2257.8027	2.16
S20.2	18	270.9271	2286.0388	2.16
S20.3	18	333.6552	2448.2055	2.16
S21.1	19	1741.1335	1696.5714	0.74
S21.2	19	1798.5715	1746.396	0.74
S23.1	20	2553.7608	1529.2515	3.39
S23.2	20	2520.7748	1329.8892	3.39
S25.1	21	281.7121	2274.6667	1.22
S25.2	21	304.7523	2302.7551	1.22
S25.3	21	320.6968	2362.8809	1.22
S31.1	22	1135.6201	2163.2206	3.1
S31.2	22	1200.2922	2237.0306	3.1
S32.1	23	2075.8034	833.1401	3.33
S32.2	23	2142.1104	862.7275	3.33
S34.1	24	1523.1148	1982.1137	1.62
S34.4	24	1637.6874	2070.8962	1.62
S43.1	25	2227.5449	729.8081	1.65
S43.2	25	2516.5084	983.3539	1.65
S43.3	25	2699.6063	1393.2154	1.65
S44.1	26	1145.0335	1085.382	2.976
S44.2	26	1451.0536	1856.612	2.976
S44.3	26	2010.0745	2201.6477	2.976
S45.1	27	1118.385	1158.3137	2.71
S45.2	27	1405.726	1871.9438	2.71
S45.3	27	1928.7073	2228.3626	2.71
S46.1	28	1487.668	1018.679	1.28
S46.2	28	1749.5014	1625.0755	1.28
S46.3	28	2168.9863	1901.8294	1.28
S47.1	29	1417.8625	1102.481	2.9
S47.2	29	2370.3535	2214.2157	2.9
S47.2	29	1510.9801	1555.2968	2.9
S48.2	30	139.4945	2309.3883	2.84
S48.3	30	144.3087	2338.1902	2.84
S49.1	31	1475.5055	1008.8861	1.23
S49.2	31	1765.1566	1640.2677	1.23
S50.1	32	1722.6063	1565.243	1.63
S50.2	32	2035.4918	1324.5424	1.63
S50.3	32	2310.3152	1991.3112	1.63
S51.1	33	1192.5541	1456.6214	2.66
S51.2	33	1245.9127	1614.885	2.66
S53.1	34	2110.7184	1087.8018	3.17
S53.2	34	1690.4436	901.8341	3.17
S53.3	34	2556.171	2099.8511	3.17
S54.1	35	2087.1106	1097.1634	3.1
S54.2	35	1682.9502	922.2099	3.1
S54.3	35	2552.6312	2113.0998	3.1
S55.1	36	2177.7954	1069.2926	3.13
S55.2	36	1719.4408	848.5549	3.13
S56.1	37	2176.4106	1080.5247	3.16
S56.2	37	1694.2428	852.0102	3.16
S57.1	38	1638.2542	2020.4962	5.237
S57.2	38	1893.6941	2131.2354	5.237
S58.1	39	1531.543	1092.6983	5.051
S58.2	39	1567.0379	1431.7485	5.051
S59.1	40	2002.8227	733.208		1.875
S59.2	40	2423.315	1024.9844	1.875
S59.3	40	2625.2227	1598.9344	1.875
S62.1	41	1886.6446	1117.4755	6.108
S62.2	41	1653.487	1055.4808	6.108
S70.1	42	2276.3007	2171.675	3.713
S70.2	42	1523.5431	1732.0577	3.713
S70.3	42	1282.3367	965.0178	3.713
