# Strong lensing multiple images to reconstruct the six Hubble Frontier Fields cluster (Abell 370, Abell 2744, Abell S1063, MACS J0416.1-2403, MACS J0717.5+3745, and MACS J1149.5+2223).
# The redshifts with ** indicate the redshift from the MARS algorithm.


# Multiple images of Abell 370
# ID		R.A. (J2000)		Decl. (J2000)		z		Class		Delta_rms (arcsec)
37.1		39.9703912		-1.5687943		5.6489		gold		0.0107
37.2		39.970428		-1.5694203		5.6489		gold		0.0251
38.1		39.977154		-1.5737917		3.2		gold		0.0108
38.2		39.975063		-1.5721045		3.2		gold		0.0003
41.1		39.965442		-1.5780222		1.1948^{**}	silver		0.0037
41.2		39.967933		-1.5773472		1.1948^{**}	silver		0.0037
42.1		39.963579		-1.5656333		1.0315		gold		0.044
42.2		39.962958		-1.5661111		1.0315		gold		0.1819
42.3		39.963375		-1.5659528		1.0315		gold		0.0605
43.1		39.962117		-1.57525		1.9838^{**}	silver		0.0202
43.2		39.984054		-1.5733556		1.9838^{**}	silver		0.0101
43.3		39.966563		-1.5696694		1.9838^{**}	silver		0.0234
44.1		39.977717		-1.5827917		3.3985^{**} 	silver		0.0052
44.2		39.976646		-1.5836028		3.3985^{**}	silver		0.0058
45.1		39.9824			-1.5811			7.6577^{**} 	silver		0.003
45.2		39.975875		-1.58726		7.6577^{**} 	silver		0.0017



# Multiple images of Abell 2744
# ID		R.A. (J2000)		Decl. (J2000)		z		Class		Delta_rms (arcsec)
1.1.1		3.597561		-30.403925		1.6881		gold		0.0055
1.2.1		3.595963		-30.406808		1.6881		gold		0.0064
1.3.1		3.586226		-30.409986		1.6881		gold		0.0037
1.1.2		3.597072		-30.404723		1.6881		gold		0.0243
1.2.2		3.596395		-30.406143		1.6881		gold		0.0069
1.3.2		3.585748		-30.4101		1.6881		gold		0.0054
1.1.3		3.597756		-30.40353		1.6881		gold		0.0034
1.2.3		3.595528		-30.407199		1.6881		gold		0.0015
1.3.3		3.586459		-30.409871		1.6881		gold		0.0048
1.1.4		3.598082		-30.40398		1.6881		gold		0.0028
1.2.4		3.595722		-30.407546		1.6881		gold		0.0008
1.3.4		3.587383		-30.410152		1.6881		gold		0.0039
2.1.1		3.583265		-30.403339		1.8868		gold		0.007
2.2.1		3.597289		-30.396712		1.8868		gold		0.0065
2.3.1		3.585369		-30.399878		1.8868		gold		0.0226
2.4.1		3.586412		-30.402127		1.8868		gold		0.0102
2.1.2		3.583029		-30.403189		1.8868		gold		0.0319
2.2.2		3.597138		-30.396639		1.8868		gold		0.0108
2.3.2		3.585134		-30.399668		1.8868		gold		0.0094
2.4.2		3.586438		-30.40187		1.8868		gold		0.0192
2.1.3		3.582994		-30.40305		1.8868		gold		0.0062
2.2.3		3.597095		-30.39658		1.8868		gold		0.01
2.3.3		3.585017		-30.399625		1.8868		gold		0.0047
2.4.3		3.586394		-30.401765		1.8868		gold		0.0267
2.1.4		3.582918		-30.40293		1.8868		gold		0.0188
2.2.4		3.597052		-30.396527		1.8868		gold		0.0148
2.3.4		3.584915		-30.39958		1.8868		gold		0.0194
2.4.4		3.586353		-30.401632		1.8868		gold		0.0065
2.1.5		3.582828		-30.402793		1.8868		gold		0.0239
2.2.5		3.59699			-30.396469		1.8868		gold		0.0132
2.3.5		3.584819		-30.399517		1.8868		gold		0.0163
2.4.5		3.586322		-30.40149		1.8868		gold		0.0007
2.1.6		3.582772		-30.402683		1.8868		gold		0.0234
2.2.6		3.596942		-30.396421		1.8868		gold		0.0136
2.3.6		3.584722		-30.399463		1.8868		gold		0.0145
2.4.6		3.584719		-30.399462		1.8868		gold		0.0094
2.1.7		3.58253			-30.402313		1.8868		gold		0.0071
2.2.7		3.596734		-30.396291		1.8868		gold		0.0071
2.3.7		3.584473		-30.399289		1.8868		gold		0.0107
2.4.7		3.586236		-30.400869		1.8868		gold		0.0188
3.1.1		3.588807		-30.393797		3.9805		gold		0.0123
3.2.1		3.589375		-30.393857		3.9805		gold		0.0122
3.1.2		3.589222		-30.393844		3.9805		gold		0.1131
3.2.2		3.588965		-30.393815		3.9805		gold		0.1059
3.1.3		3.589487		-30.393869		3.9805		gold		0.022
3.2.3		3.588639		-30.393785		3.9805		gold		0.0072
4.1.1		3.592126		-30.40266		3.577		gold		0.0046
4.2.1		3.595674		-30.401633		3.577		gold		0.0025
4.3.1		3.580452		-30.408946		3.577		gold		0.0035
4.4.1		3.5931933		-30.404915		3.5769		gold		0.001
4.5.1		3.593651		-30.405117		3.577		gold		0.0021
4.1.2		3.592098		-30.402527		3.577		gold		0.0021
4.2.2		3.595567		-30.401518		3.577		gold		0.0025
5.1		3.5869257		-30.390704		4.0225		gold		0.0034
5.2		3.5849816		-30.391374		4.0225		gold		0.0071
5.3		3.5799583		-30.394772		4.0225		gold		0.1197
6.1		3.598541		-30.401792		2.0171		gold		0.0018
6.2		3.594058		-30.407999		2.0171		gold		0.0048
6.3		3.586433		-30.409363		2.0171		gold		0.009
7.1		3.5982604		-30.402326		2.5791		silver		0.0255
7.2		3.5952195		-30.407412		2.5791		silver		0.0076
7.3		3.5845989		-30.409822		2.5791		silver		0.0379
8.1		3.589712		-30.394335		3.9764		gold		0.0055
8.2		3.588831		-30.394202		3.9764		gold		0.0222
8.3		3.5763966		-30.402554		3.975		gold		0.0059
9.1		3.58839			-30.405272		2.3556		silver		0.0089
9.2		3.5871362		-30.406229		2.3556		silver		0.0184
10.1		3.5884011		-30.40588		2.6565		gold		0.0043
10.2		3.5873776		-30.406485		2.6565		gold		0.0048
11.1		3.591393		-30.403847		2.4508		silver		0.0347
11.2		3.5972708		-30.401435		2.4508		silver		0.0428
11.3		3.5828051		-30.40891		2.4508		silver		0.0398
11.4		3.5945298		-30.406546		2.4508		silver		0.0362
12.2		3.5932349		-30.403259		3.6388		silver		0.006
12.3		3.5945646		-30.402986		3.6388		silver		0.0028
13.1		3.5923985		-30.402536		1.3905		silver		0.0249
13.2		3.59377			-30.40217		1.3905		silver		0.037
13.3		3.5827578		-30.408035		1.3905		silver		0.0209
14.1		3.5897344		-30.394638		2.571		silver		0.1957
14.2		3.5884245		-30.394434		2.571		silver		0.2043
14.3		3.5775729		-30.401688		2.571		silver		0.0036
18.1		3.576124		-30.404472		5.6624		gold		0.0056
18.2		3.588377		-30.39563		5.6624		gold		0.0057
18.3		3.59073			-30.395543		5.6624		gold		0.0185
20.1		3.5962413		-30.40297		2.5127		silver		0.0961
20.2		3.5951992		-30.405437		2.5127		silver		0.0405
20.3		3.5820007		-30.409552		2.5127		silver		0.0477
21.1		3.5961754		-30.403112		2.564		silver		0.0305
21.2		3.5952536		-30.40534		2.564		silver		0.0166
21.3		3.5819601		-30.40961		2.564		silver		0.0304
22.1		3.587924		-30.411608		5.2844		gold		0.0053
22.2		3.600048		-30.404415		5.2844		gold		0.004
22.3		3.596592		-30.408989		5.2844		gold		0.0029
23.1		3.5881623		-30.410545		4.4156		silver		0.0167
23.2		3.5935338		-30.409717		4.4156		silver		0.0022
23.3		3.6005416		-30.401831		4.4156		silver		0.0063
24.1		3.5959003		-30.40448		1.043		gold		0.0128
24.2		3.595125		-30.405933		1.043		gold		0.0026
24.3		3.5873333		-30.409102		1.043		gold		0.0059
25.1		3.5944626		-30.402732		1.2168		silver		0.0427
25.2		3.59215			-30.403318		1.2168		silver		0.0383
25.3		3.5842145		-30.408281		1.2168		silver		0.0196
26.1.1		3.593898		-30.409724		3.0542		gold		0.0035
26.2.1		3.590353		-30.410575		3.0542		gold		0.0037
26.3.1		3.600112		-30.402939		3.0542		gold		0.0019
26.1.2		3.593993		-30.409699		3.0542		gold		0.0013
26.2.2		3.590272		-30.41061		3.0542		gold		0.0059
26.1.3		3.594031		-30.409604		3.0542		gold		0.007
26.2.3		3.589969		-30.410593		3.0542		gold		0.0038
28.1		3.5804479		-30.405051		6.5166		silver		0.0047
28.2		3.5978333		-30.395964		6.5166		silver		0.0042
28.3		3.5853176		-30.397958		6.5166		silver		0.0012
28.4		3.5874511		-30.401372		6.5166		silver		0.0026
29.1		3.5824475		-30.397567		1.9859		silver		0.0037
29.2		3.5805261		-30.400464		1.9859		silver		0.0259
30.1		3.5910104		-30.39744		1.0252		gold		0.003
30.2		3.5866771		-30.398188		1.0252		gold		0.0009
30.3		3.5819245		-30.4017		1.0252		gold		0.0022
31.1		3.585934		-30.403159		4.7594		gold		0.0021
31.2		3.5837083		-30.404105		4.7594		gold		0.0019
32.1		3.5835963		-30.404705		5.6678		silver		0.0091
32.2		3.5866709		-30.403345		5.6678		silver		0.0245
32.3		3.5997765		-30.395981		5.6678		silver		0.0114
33.1		3.584712		-30.403146		5.7256		gold		0.0168
33.2		3.584397		-30.403393		5.7256		gold		0.0089
33.3		3.6004183		-30.39511		5.7255		gold		0.005
34.1		3.593428		-30.410834		3.784		gold		0.0363
34.2		3.593812		-30.410714		3.784		gold		0.0538
34.3		3.600711		-30.404593		3.784		gold		0.0034
37.1		3.5890417		-30.394913		2.6501		gold		0.01
37.2		3.5887083		-30.394852		2.6501		gold		0.0014
39.1		3.5887917		-30.39253		4.015		gold		0.1151
39.2		3.5885417		-30.392508		4.015		gold		0.0484
39.3		3.5774787		-30.399568		4.015		gold		0.0045
40.1		3.5890859		-30.392668		4		gold		0.035
40.2		3.5881935		-30.392551		4		gold		0.0269
41.1		3.5991758		-30.399582		4.9113		gold		0.004
41.2		3.5935571		-30.407769		4.9113		gold		0.0038
41.3		3.5834467		-30.4085		4.9113		gold		0.0044
41.4		3.590617		-30.404459		4.9113		gold		0.0014
42.1		3.597313		-30.400605		3.6919		gold		0.0043
42.2		3.590956		-30.403252		3.6919		gold		0.0009
42.3		3.58159			-30.408631		3.6919		gold		0.002
42.4		3.594245		-30.406388		3.6919		gold		0.0028
42.5		3.592415		-30.405197		3.6919		gold		0.0052
47.1		3.5901625		-30.392181		4.0225		gold		0.0011
47.2		3.5858417		-30.392244		4.0225		gold		0.0026
47.3		3.5783292		-30.398133		4.0225		gold		0.0055
53.1		3.579842		-30.401592		6.8098		silver		0.029
53.2		3.5835495		-30.396703		6.8098		silver		0.0414
54.1		3.592345		-30.409895		5.4223		silver		0.0084
54.2		3.5882578		-30.410328		5.4223		silver		0.0073
61.1		3.595522		-30.403485		2.9509		gold		0.0017
61.2		3.595138		-30.404471		2.9509		gold		0.001
62.1		3.591326		-30.398643		4.1936		gold		0.005
